year,file_name,first_timestamp,last_timestamp,hourly_steps,daily_steps,complete_year,size_bytes
1950,t2m_era5_1950.nc,1950-01-01T00:00:00,1950-12-31T23:00:00,8760,365,True,434984102
1951,t2m_era5_1951.nc,1951-01-01T00:00:00,1951-12-31T23:00:00,8760,365,True,428811873
1952,t2m_era5_1952.nc,1952-01-01T00:00:00,1952-12-31T23:00:00,8784,366,True,435802646
1953,t2m_era5_1953.nc,1953-01-01T00:00:00,1953-12-31T23:00:00,8760,365,True,434586321
1954,t2m_era5_1954.nc,1954-01-01T00:00:00,1954-12-31T23:00:00,8760,365,True,434793954
1955,t2m_era5_1955.nc,1955-01-01T00:00:00,1955-12-31T23:00:00,8760,365,True,434767362
1956,t2m_era5_1956.nc,1956-01-01T00:00:00,1956-12-31T23:00:00,8784,366,True,437367907
1957,t2m_era5_1957.nc,1957-01-01T00:00:00,1957-12-31T23:00:00,8760,365,True,432050168
1958,t2m_era5_1958.nc,1958-01-01T00:00:00,1958-12-31T23:00:00,8760,365,True,434837959
1959,t2m_era5_1959.nc,1959-01-01T00:00:00,1959-12-31T23:00:00,8760,365,True,428299617
1960,t2m_era5_1960.nc,1960-01-01T00:00:00,1960-12-31T23:00:00,8784,366,True,434669572
1961,t2m_era5_1961.nc,1961-01-01T00:00:00,1961-12-31T23:00:00,8760,365,True,432264365
1962,t2m_era5_1962.nc,1962-01-01T00:00:00,1962-12-31T23:00:00,8760,365,True,435072886
1963,t2m_era5_1963.nc,1963-01-01T00:00:00,1963-12-31T23:00:00,8760,365,True,434070666
1964,t2m_era5_1964.nc,1964-01-01T00:00:00,1964-12-31T23:00:00,8784,366,True,434978137
1965,t2m_era5_1965.nc,1965-01-01T00:00:00,1965-12-31T23:00:00,8760,365,True,435293638
1966,t2m_era5_1966.nc,1966-01-01T00:00:00,1966-12-31T23:00:00,8760,365,True,435964039
1967,t2m_era5_1967.nc,1967-01-01T00:00:00,1967-12-31T23:00:00,8760,365,True,432492706
1968,t2m_era5_1968.nc,1968-01-01T00:00:00,1968-12-31T23:00:00,8784,366,True,433073704
1969,t2m_era5_1969.nc,1969-01-01T00:00:00,1969-12-31T23:00:00,8760,365,True,434554825
1970,t2m_era5_1970.nc,1970-01-01T00:00:00,1970-12-31T23:00:00,8760,365,True,434849861
1971,t2m_era5_1971.nc,1971-01-01T00:00:00,1971-12-31T23:00:00,8760,365,True,435527473
1972,t2m_era5_1972.nc,1972-01-01T00:00:00,1972-12-31T23:00:00,8784,366,True,433637035
1973,t2m_era5_1973.nc,1973-01-01T00:00:00,1973-12-31T23:00:00,8760,365,True,433006148
1974,t2m_era5_1974.nc,1974-01-01T00:00:00,1974-12-31T23:00:00,8760,365,True,427432136
1975,t2m_era5_1975.nc,1975-01-01T00:00:00,1975-12-31T23:00:00,8760,365,True,433141885
1976,t2m_era5_1976.nc,1976-01-01T00:00:00,1976-12-31T23:00:00,8784,366,True,431159537
1977,t2m_era5_1977.nc,1977-01-01T00:00:00,1977-12-31T23:00:00,8760,365,True,434248520
1978,t2m_era5_1978.nc,1978-01-01T00:00:00,1978-12-31T23:00:00,8760,365,True,431728434
1979,t2m_era5_1979.nc,1979-01-01T00:00:00,1979-12-31T23:00:00,8760,365,True,433324053
1980,t2m_era5_1980.nc,1980-01-01T00:00:00,1980-12-31T23:00:00,8784,366,True,435246712
1981,t2m_era5_1981.nc,1981-01-01T00:00:00,1981-12-31T23:00:00,8760,365,True,433071917
1982,t2m_era5_1982.nc,1982-01-01T00:00:00,1982-12-31T23:00:00,8760,365,True,433546900
1983,t2m_era5_1983.nc,1983-01-01T00:00:00,1983-12-31T23:00:00,8760,365,True,432101074
1984,t2m_era5_1984.nc,1984-01-01T00:00:00,1984-12-31T23:00:00,8784,366,True,433787828
1985,t2m_era5_1985.nc,1985-01-01T00:00:00,1985-12-31T23:00:00,8760,365,True,433277616
1986,t2m_era5_1986.nc,1986-01-01T00:00:00,1986-12-31T23:00:00,8760,365,True,431532841
1987,t2m_era5_1987.nc,1987-01-01T00:00:00,1987-12-31T23:00:00,8760,365,True,431487740
1988,t2m_era5_1988.nc,1988-01-01T00:00:00,1988-12-31T23:00:00,8784,366,True,434446321
1989,t2m_era5_1989.nc,1989-01-01T00:00:00,1989-12-31T23:00:00,8760,365,True,432806178
1990,t2m_era5_1990.nc,1990-01-01T00:00:00,1990-12-31T23:00:00,8760,365,True,428217469
1991,t2m_era5_1991.nc,1991-01-01T00:00:00,1991-12-31T23:00:00,8760,365,True,428636422
1992,t2m_era5_1992.nc,1992-01-01T00:00:00,1992-12-31T23:00:00,8784,366,True,433567900
1993,t2m_era5_1993.nc,1993-01-01T00:00:00,1993-12-31T23:00:00,8760,365,True,433903253
1994,t2m_era5_1994.nc,1994-01-01T00:00:00,1994-12-31T23:00:00,8760,365,True,432556565
1995,t2m_era5_1995.nc,1995-01-01T00:00:00,1995-12-31T23:00:00,8760,365,True,432202291
1996,t2m_era5_1996.nc,1996-01-01T00:00:00,1996-12-31T23:00:00,8784,366,True,430385662
1997,t2m_era5_1997.nc,1997-01-01T00:00:00,1997-12-31T23:00:00,8760,365,True,432519243
1998,t2m_era5_1998.nc,1998-01-01T00:00:00,1998-12-31T23:00:00,8760,365,True,432235265
1999,t2m_era5_1999.nc,1999-01-01T00:00:00,1999-12-31T23:00:00,8760,365,True,431594023
2000,t2m_era5_2000.nc,2000-01-01T00:00:00,2000-12-31T23:00:00,8784,366,True,434740847
2001,t2m_era5_2001.nc,2001-01-01T00:00:00,2001-12-31T23:00:00,8760,365,True,432721596
2002,t2m_era5_2002.nc,2002-01-01T00:00:00,2002-12-31T23:00:00,8760,365,True,433203168
2003,t2m_era5_2003.nc,2003-01-01T00:00:00,2003-12-31T23:00:00,8760,365,True,428903733
2004,t2m_era5_2004.nc,2004-01-01T00:00:00,2004-12-31T23:00:00,8784,366,True,429166084
2005,t2m_era5_2005.nc,2005-01-01T00:00:00,2005-12-31T23:00:00,8760,365,True,434567790
2006,t2m_era5_2006.nc,2006-01-01T00:00:00,2006-12-31T23:00:00,8760,365,True,428424537
2007,t2m_era5_2007.nc,2007-01-01T00:00:00,2007-12-31T23:00:00,8760,365,True,433363855
2008,t2m_era5_2008.nc,2008-01-01T00:00:00,2008-12-31T23:00:00,8784,366,True,428997403
2009,t2m_era5_2009.nc,2009-01-01T00:00:00,2009-12-31T23:00:00,8760,365,True,433913186
2010,t2m_era5_2010.nc,2010-01-01T00:00:00,2010-12-31T23:00:00,8760,365,True,434103974
2011,t2m_era5_2011.nc,2011-01-01T00:00:00,2011-12-31T23:00:00,8760,365,True,427779193
2012,t2m_era5_2012.nc,2012-01-01T00:00:00,2012-12-31T23:00:00,8784,366,True,433634736
2013,t2m_era5_2013.nc,2013-01-01T00:00:00,2013-12-31T23:00:00,8760,365,True,429490513
2014,t2m_era5_2014.nc,2014-01-01T00:00:00,2014-12-31T23:00:00,8760,365,True,431922819
2015,t2m_era5_2015.nc,2015-01-01T00:00:00,2015-12-31T23:00:00,8760,365,True,430484798
2016,t2m_era5_2016.nc,2016-01-01T00:00:00,2016-12-31T23:00:00,8784,366,True,432653482
2017,t2m_era5_2017.nc,2017-01-01T00:00:00,2017-12-31T23:00:00,8760,365,True,430815820
2018,t2m_era5_2018.nc,2018-01-01T00:00:00,2018-12-31T23:00:00,8760,365,True,429923398
2019,t2m_era5_2019.nc,2019-01-01T00:00:00,2019-12-31T23:00:00,8760,365,True,429682357
2020,t2m_era5_2020.nc,2020-01-01T00:00:00,2020-12-31T23:00:00,8784,366,True,429034154
2021,t2m_era5_2021.nc,2021-01-01T00:00:00,2021-12-31T23:00:00,8760,365,True,432348466
2022,t2m_era5_2022.nc,2022-01-01T00:00:00,2022-12-31T23:00:00,8760,365,True,429024166
2023,t2m_era5_2023.nc,2023-01-01T00:00:00,2023-12-31T23:00:00,8760,365,True,427714237
2024,t2m_era5_2024.nc,2024-01-01T00:00:00,2024-12-31T23:00:00,8784,366,True,434536944
2025,t2m_era5_2025.nc,2025-01-01T00:00:00,2025-12-31T23:00:00,8760,365,True,428147700
2026,t2m_era5_2026.nc,2026-01-01T00:00:00,2026-07-02T04:00:00,4373,183,False,214773429
