role,dataset_family,scenario,model_chain,variable,file_name,local_path,exists,size_bytes,sha256,source_note
raw_climate,Copernicus/CORDEX tasAdjust,RCP26,CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63,tasAdjust,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp26_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc,,True,48221802007,0f9ad765f20a979ec4b42569beb2ea264f340b47b063e44ad8973e43dc12babe,Local Copernicus2100 raw-data archive
raw_climate,Copernicus/CORDEX tasAdjust,RCP85,CNRM-CERFACS-CNRM-CM5 / CNRM-ALADIN63,tasAdjust,tasAdjust_EUR-25_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN63_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1952010100-2100123121.nc,,True,48194598060,2f467c8de2c95ae926e44ce171e99470e4ad8f06d89867e7e530cdf263a7fe49,Local Copernicus2100 raw-data archive
raw_climate,Copernicus/CORDEX tasAdjust,RCP45,IPSL-IPSL-CM5A-MR / IPSL-WRF381P,tasAdjust,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc,,True,46618318550,bd9b1ad40d3d48816d3f71cacd3de4bfdf867faf65f36b896d7eea58bd7aea40,Local Copernicus2100 raw-data archive
raw_climate,Copernicus/CORDEX tasAdjust,RCP85,IPSL-IPSL-CM5A-MR / IPSL-WRF381P,tasAdjust,tasAdjust_EUR-25_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_IPSL-WRF381P_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc,,True,46601634367,a38d351c31d79b0923a508a8aff5a98b041bf1a2be8f6ab72787dbc5260915f2,Local Copernicus2100 raw-data archive
raw_climate,Copernicus/CORDEX tasAdjust,RCP45,MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17,tasAdjust,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc,,True,46907461009,f1bbc14c964429f8689b581a92deef36a731e8f6a7b1acbaf05548876f7d3a01,Local Copernicus2100 raw-data archive
raw_climate,Copernicus/CORDEX tasAdjust,RCP85,MPI-M-MPI-ESM-LR / CLMcom-CCLM4-8-17,tasAdjust,tasAdjust_EUR-25_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1950010100-2100123121.nc,,True,46897034620,599a162a8b72ae95c0af2039882231ab84dd1528ce909af6efdc71a3ffbb9287,Local Copernicus2100 raw-data archive
raw_climate,Copernicus/CORDEX tasAdjust,RCP45,NCC-NorESM1-M / DMI-HIRHAM5,tasAdjust,tasAdjust_EUR-25_NCC-NorESM1-M_rcp45_r1i1p1_DMI-HIRHAM5_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc,,True,46748703982,3562ab217cfd7a61ba7e8c42330b0678036a0f2bf0f2d6cb7579bb09bcb1d428,Local Copernicus2100 raw-data archive
raw_climate,Copernicus/CORDEX tasAdjust,RCP85,NCC-NorESM1-M / DMI-HIRHAM5,tasAdjust,tasAdjust_EUR-25_NCC-NorESM1-M_rcp85_r1i1p1_DMI-HIRHAM5_v1-IPSL-CDFT22-ERA5-1980-2018_3hr_1951010100-2100123121.nc,,True,46734998330,3bfda069abf177065489d1654b2d3f9b5553cd57df665feec4b8649628325631,Local Copernicus2100 raw-data archive
raw_climate,E-OBS,historical,observational gridded dataset,tx,tx_ens_mean_0.25deg_reg_v33.0e.nc,,True,898580164,617175993b43d345b743992143979111bd40c0f63f3d980befaef8903cfed460,Local E-OBS file; cite provider licence before publication
generated_output,generated analysis output,derived,derived,csv,copernicus2100_de_fr_top_years.csv,,True,44704,89fe14b5880cb0e52059e3aeedea4c336030cecb35a7c67747a2967774ce9f3f,Generated locally; ignored by Git unless explicitly exported
generated_output,generated analysis output,derived,derived,csv,cmip6_de_fr_top_years.csv,,True,17864,8bca815634f4161fb76b17838b6054e4d17a6eba3bc05c353269fc34e1f24a4d,Generated locally; ignored by Git unless explicitly exported
